,Unnamed: 0,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
105,587,U001,0200749782,KROG associates,2020-05-16,2020.0,1930822131.0,2020-04-25,2020-05-10,2020-04-25,NAA8,88502.01,0-15
106,596,U001,0200744019,TARG corp,2020-05-22,2020.0,1930641073.0,2020-03-13,2020-05-17,2020-03-13,NAGD,1982.06,0-15
107,600,U001,0200769623,WAL-MAR foundation,2020-05-09,2020.0,1930804577.0,2020-04-21,2020-05-06,2020-04-21,NAH4,2326.08,0-15
108,601,U001,0200705742,DOT us,2020-03-19,2020.0,1930592413.0,2020-03-02,2020-03-17,2020-03-02,NAA8,9822.38,0-15
109,617,U001,0200744019,TARG trust,2020-05-22,2020.0,1930857489.0,2020-05-05,2020-05-20,2020-05-05,NAA8,29592.42,0-15
110,619,U001,0200772670,ASSOCIAT associates,2020-04-21,2020.0,1930739252.0,2020-04-03,2020-04-18,2020-04-03,NAU5,47903.76,0-15
111,620,U001,0200769623,WAL-MAR corporation,2020-04-11,2020.0,1930692953.0,2020-03-24,2020-04-08,2020-03-24,NAH4,1898.9,0-15
112,625,U001,0200900909,SYSCO in,2020-04-22,2020.0,1930741081.0,2020-04-03,2020-04-18,2020-04-03,NAA8,7524.17,0-15
113,627,U001,0200424504,M  in,2020-04-18,2020.0,1930830032.0,2020-04-28,2020-04-15,2020-04-15,NACG,2428.04,0-15
114,629,U001,0100031704,DELHAIZE trust,2020-06-23,2020.0,1930794735.0,2020-04-16,2020-06-20,2020-04-16,NAGD,1176.59,0-15
115,633,U001,0200764795,SYSCO  us,2020-04-23,2020.0,1930637455.0,2020-03-18,2020-04-19,2020-03-18,NA32,10978.51,0-15
116,644,U001,0200337148,COAS systems,2020-03-19,2020.0,1930587342.0,2020-03-02,2020-03-17,2020-03-02,NAA8,45127.79,0-15
117,645,U001,0200416837,DEC llc,2020-03-26,2020.0,1930599382.0,2020-03-04,2020-03-24,2020-03-01,NAM4,398.16,0-15
118,649,U001,0200769623,WAL-MAR llc,2020-03-27,2020.0,1930623646.0,2020-03-09,2020-03-24,2020-03-09,NAH4,58726.21,0-15
119,650,U001,0200726979,BJ'S  associates,2020-03-30,2020.0,1930645815.0,2020-03-12,2020-03-27,2020-03-12,NAA8,588.49,0-15
120,658,U001,0200721222,GO us,2020-05-08,2020.0,1930800642.0,2020-04-20,2020-05-05,2020-04-20,NAA8,25685.07,0-15
121,662,U001,0200772595,SAFEW corporation,2020-04-20,2020.0,1930729101.0,2020-04-02,2020-04-17,2020-04-02,NAA8,10020.14,0-15
122,665,U001,0200820380,SMITH'S trust,2020-04-18,2020.0,1930716191.0,2020-03-30,2020-04-14,2020-03-30,NAA8,48022.97,0-15
123,668,U001,0200793568,SUPE corporation,2020-05-02,2020.0,1930779652.0,2020-04-14,2020-04-29,2020-04-14,NAA8,36623.03,0-15
124,669,U001,0200706844,WINC corp,2020-04-21,2020.0,1930732708.0,2020-04-01,2020-04-16,2020-04-01,NAA8,22644.53,0-15
125,672,U001,0100043975,JAVA co,2020-03-18,2020.0,1930586661.0,2020-03-02,2020-03-17,2020-03-02,NAA8,7212.0,0-15
126,673,U001,0200769623,WAL-MAR llc,2020-04-12,2020.0,1930692548.0,2020-03-25,2020-04-09,2020-03-25,NAH4,15797.23,0-15
127,675,U001,0200762301,C&S WH in,2020-03-27,2020.0,1930630515.0,2020-03-11,2020-03-26,2020-03-11,NAC6,2018.45,0-15
128,681,U001,0200769623,WAL-MAR foundation,2020-03-22,2020.0,1930593446.0,2020-03-04,2020-03-19,2020-03-04,NAH4,14706.98,0-15
129,682,U001,0200729290,KROGER ,2020-03-22,2020.0,1930599215.0,2020-03-04,2020-03-19,2020-03-04,NAA8,115494.14,0-15
130,685,U001,0200769623,WAL-MAR us,2020-05-15,2020.0,1930827122.0,2020-04-27,2020-05-12,2020-04-27,NAH4,1898.9,0-15
131,687,U001,0200769623,WAL-MAR us,2020-04-23,2020.0,1930750644.0,2020-04-06,2020-04-21,2020-04-06,NAH4,37684.36,0-15
132,688,U001,0200705372,FR corporation,2020-03-30,2020.0,1930637990.0,2020-03-13,2020-03-28,2020-03-13,NAA8,19961.05,0-15
133,698,U001,0200769623,WAL-MAR llc,2020-04-09,2020.0,1930675431.0,2020-03-22,2020-04-06,2020-03-22,NAH4,11826.09,0-15
134,701,U001,0200742791,QUI in,2020-03-27,2020.0,1930603823.0,2020-03-10,2020-03-25,2020-03-10,NAA8,24843.48,0-15
135,703,U001,0200743996,STATER  corporation,2020-04-17,2020.0,1930718352.0,2020-03-30,2020-04-14,2020-03-30,NAA8,32224.05,0-15
136,704,U001,0200769623,WAL-MAR us,2020-04-24,2020.0,1930752522.0,2020-04-06,2020-04-21,2020-04-06,NAH4,9937.06,0-15
137,714,U001,0200759878,SA corporation,2020-04-23,2020.0,1930752430.0,2020-04-08,2020-04-23,2020-04-08,NAH4,12417.47,0-15
138,722,U001,0200762301,C&S WH us,2020-03-19,2020.0,1930584581.0,2020-03-02,2020-03-17,2020-03-02,NAC6,4301.57,0-15
139,723,U001,200769623,WAL-MAR ,2020-05-30,2020.0,1930885637.0,2020-05-12,2020-05-27,2020-05-12,NAH4,22549.83,0-15
140,728,U001,0100043936,PAPA JO foundation,2020-03-22,2020.0,1930627707.0,2020-03-10,2020-03-20,2020-03-10,NA10,18145.19,0-15
141,731,U001,0200744019,TARG co,2020-04-25,2020.0,1930748869.0,2020-04-05,2020-04-20,2020-04-05,NAA8,97776.0,0-15
142,739,U001,0200794332,COST ,2020-04-21,2020.0,1930720706.0,2020-04-02,2020-04-17,2020-04-02,NAAX,31599.18,0-15
143,745,U001,0200740393,LABAT ,2020-03-21,2020.0,1930585380.0,2020-03-03,2020-03-18,2020-03-03,NAA8,52645.42,0-15
144,747,U001,0200769623,WAL-MAR systems,2020-04-07,2020.0,1930671465.0,2020-03-20,2020-04-04,2020-03-20,NAH4,21113.92,0-15
145,753,U001,0200762301,C&S WH co,2020-03-14,2020.0,1930577119.0,2020-02-27,2020-03-13,2020-02-27,NAC6,137768.6,0-15
146,758,U001,0200759878,SA in,2020-04-20,2020.0,1930748365.0,2020-04-05,2020-04-20,2020-04-05,NAH4,13548.66,0-15
147,759,U001,0200759878,SA corporation,2020-05-12,2020.0,1930825574.0,2020-04-27,2020-05-12,2020-04-27,NAH4,35898.48,0-15
148,762,U001,0200704858,WAKE llc,2020-04-01,2020.0,1930655118.0,2020-03-16,2020-03-31,2020-03-16,NAA8,109248.63,0-15
149,777,U001,0200762301,C&S WH foundation,2020-04-01,2020.0,1930654407.0,2020-03-16,2020-03-31,2020-03-16,NAC6,7465.1,0-15
150,806,U001,0200803720,DEC corporation,2020-05-13,2020.0,1930872721.0,2020-05-07,2020-05-11,2020-05-01,NAM2,4729.18,0-15
151,807,U001,0200078795,H T H llc,2020-05-23,2020.0,1930861108.0,2020-05-05,2020-05-20,2020-05-05,NAA8,1412.26,0-15
152,812,U001,0200519201,KROGE llc,2020-04-11,2020.0,1930709582.0,2020-03-28,2020-04-12,2020-03-28,NAA8,15477.22,
153,821,U001,0200744019,TARG corp,2020-04-26,2020.0,1930753198.0,2020-04-07,2020-04-22,2020-04-07,NAA8,19195.56,0-15
154,829,U001,0200786288,FAMILY in,2020-04-30,2020.0,1930759958.0,2020-04-08,2020-04-23,2020-04-08,NAC6,66230.48,0-15
155,830,U001,0200418007,AM systems,2020-04-17,2020.0,1930732102.0,2020-04-02,2020-04-17,2020-04-02,NAA8,47393.05,0-15
156,832,U001,0200466603,SMITH'S systems,2020-04-05,2020.0,1930664246.0,2020-03-18,2020-04-02,2020-03-18,NAA8,142732.08,0-15
157,841,CA02,0140106408,WAL-M associates,2020-04-05,2020.0,2960622798.0,2020-03-23,2020-04-02,2020-03-23,CA10,5791.484999999999,0-15
158,842,U001,0200762301,C&S WH in,2020-06-07,2020.0,1930721389.0,2020-04-01,2020-06-05,2020-04-01,NAGD,7943.13,0-15
159,845,U001,0200761734,H E BUT associates,2020-03-26,2020.0,1930632938.0,2020-03-10,2020-03-25,2020-03-10,NAA8,91756.55,0-15
160,851,U001,0200769623,WAL-MAR foundation,2020-03-25,2020.0,1930611981.0,2020-03-08,2020-03-23,2020-03-08,NAH4,24282.42,0-15
161,854,U001,0200769623,WAL-MAR llc,2020-05-06,2020.0,1930793187.0,2020-04-18,2020-05-03,2020-04-18,NAH4,10903.6,0-15
162,866,U001,200769623,WAL-MAR us,2020-04-12,2020.0,1930692727.0,2020-03-24,2020-04-08,2020-03-24,NAH4,51516.27,0-15
163,867,U001,0200744019,TARG us,2020-05-09,2020.0,1930813045.0,2020-04-21,2020-05-06,2020-04-21,NAA8,5887.21,0-15
164,869,U001,0200726979,BJ'S  systems,2020-03-29,2020.0,1930643416.0,2020-03-12,2020-03-27,2020-03-12,NAA8,14149.02,0-15
165,872,U001,0200706844,WINC co,2020-04-19,2020.0,1930760026.0,2020-03-31,2020-04-15,2020-03-31,NAA8,38905.5,0-15
166,889,U001,0200418007,AM us,2020-05-18,2020.0,1930650673.0,2020-03-14,2020-05-18,2020-03-14,NAGD,1011.24,0-15
167,894,U001,0200799367,MCL in,2020-04-15,2020.0,1930720975.0,2020-03-31,2020-04-15,2020-03-31,NAA8,124605.44,0-15
168,898,U001,0200772595,SAFEW corporation,2020-04-12,2020.0,1930705040.0,2020-03-25,2020-04-09,2020-03-25,NAA8,32039.34,0-15
169,899,U001,0200759878,SA llc,2020-04-12,2020.0,1930700242.0,2020-03-27,2020-04-11,2020-03-27,NAH4,50054.82,0-15
170,900,U001,CCU013,KRAFT F in,2020-04-03,2020.0,1930570370.0,2020-02-28,2020-02-28,2020-02-28,NAX2,37209.64,31-45
171,904,U001,0200726979,BJ'S  in,2020-03-26,2020.0,1930629390.0,2020-03-09,2020-03-24,2020-03-09,NAA8,467.72,0-15
172,905,U001,0200526831,PERISH associates,2020-04-05,2020.0,1930666168.0,2020-03-19,2020-04-03,2020-03-19,NAA8,134095.09,0-15
173,911,U001,0200769623,WAL-MAR llc,2020-05-20,2020.0,1930845835.0,2020-05-02,2020-05-17,2020-05-02,NAH4,292.94,0-15
174,916,U001,0100031704,DELHAIZE corp,2020-05-17,2020.0,1930844129.0,2020-04-30,2020-05-15,2020-04-30,NAA8,92271.69,0-15
175,918,U001,0200769623,WAL-MAR in,2020-04-05,2020.0,1930662779.0,2020-03-18,2020-04-02,2020-03-18,NAH4,35023.47,0-15
176,924,U001,0200020431,DEC systems,2020-03-26,2020.0,1930599834.0,2020-03-04,2020-03-24,2020-03-01,NAM4,4551.58,0-15
177,933,U001,0200726979,BJ'S  ,2020-04-20,2020.0,1930730591.0,2020-04-01,2020-04-16,2020-04-01,NAA8,261.84,0-15
178,944,U001,0200769623,WAL-MAR foundation,2020-04-02,2020.0,1930652678.0,2020-03-15,2020-03-30,2020-03-15,NAH4,33837.66,0-15
179,952,U001,0200729942,SA ,2020-05-05,2020.0,1930798198.0,2020-04-17,2020-05-02,2020-04-17,NAA8,11696.53,0-15
180,956,U001,0200705742,DOT systems,2020-05-11,2020.0,1930810367.0,2020-04-23,2020-05-08,2020-04-23,NAA8,8115.04,0-15
181,957,U001,0200777735,NASH  co,2020-04-02,2020.0,1930670844.0,2020-03-18,2020-04-02,2020-03-18,NAA8,152067.79,0-15
182,973,U001,0200020431,DEC us,2020-03-26,2020.0,1930617742.0,2020-03-07,2020-03-24,2020-03-01,NAM4,3117.84,0-15
183,980,U001,0200769623,WAL-MAR corp,2020-04-24,2020.0,1930748572.0,2020-04-06,2020-04-21,2020-04-06,NAH4,1898.2,0-15
184,985,U001,0200759878,SA systems,2020-03-31,2020.0,1930655535.0,2020-03-16,2020-03-31,2020-03-16,NAH4,17060.17,0-15
185,990,U001,0100004536,BAS ,2020-05-12,2020.0,1930765834.0,2020-04-14,2020-04-29,2020-04-14,NAA8,3745.49,0-15
186,991,U001,0200769623,WAL-MAR corporation,2020-05-29,2020.0,1930882579.0,2020-05-11,2020-05-26,2020-05-11,NAH4,9163.34,0-15
187,996,CA02,0140104409,LOB in,2020-04-09,2020.0,2960624271.0,2020-03-26,2020-04-07,2020-03-28,CA10,166894.25199999998,0-15
